0,You are looking for a <b>particular restaurant</b>. Its name is called <b>travellers rest</b>. Once you find the <b>restaurant</b> you want to book a table for <b>1 people</b> at <b>time</b> on <b>Saturday</b>.
1,You are looking for a <b>restaurant</b>. The restaurant should serve <b>italian</b> food. The restaurant should be in the <b>moderate</b> price range. The restaurant should be in the <b>east</b> area. Once you find the <b>restaurant</b> you want to book a table for <b>5 people</b> at <b>time</b> on <b>Monday</b>. Make sure you get the <b>reference number</b>.
2,"You are looking for a <b>restaurant</b>. The restaurant should serve <b>belgian</b> food. The restaurant should be in the <b>moderate</b> price range. The restaurant should be in the <b>centre</b> area. If there is no such restaurant, how about one that serves <b>turkish</b> food. Once you find the <b>restaurant</b> you want to book a table for <b>1 people</b> at <b>time</b> on <b>Tuesday</b>."
3,You are looking for a <b>restaurant</b>. The restaurant should serve <b>chinese</b> food. The restaurant should be in the <b>cheap</b> price range. The restaurant should be in the <b>centre</b> area. Once you find the <b>restaurant</b> you want to book a table for <b>7 people</b> at <b>time</b> on <b>Friday</b>. Make sure you get the <b>reference number</b>.
4,You are looking for a <b>particular restaurant</b>. Its name is called <b>royal spice</b>. Make sure you get the <b>postcode</b>.
5,You are looking for a <b>restaurant</b>. The restaurant should serve <b>thai</b> food. The restaurant should be in the <b>expensive</b> price range. The restaurant should be in the <b>west</b> area. Once you find the <b>restaurant</b> you want to book a table for <b>7 people</b> at <b>time</b> on <b>Thursday</b>. Make sure you get the <b>reference number</b>.
6,"You are looking for a <b>restaurant</b>. The restaurant should serve <b>world</b> food. The restaurant should be in the <b>expensive</b> price range. The restaurant should be in the <b>centre</b> area. If there is no such restaurant, how about one that serves <b>korean</b> food. Once you find the <b>restaurant</b> you want to book a table for <b>2 people</b> at <b>time</b> on <b>Monday</b>. Make sure you get the <b>reference number</b>."
7,"You are looking for a <b>restaurant</b>. The restaurant should serve <b>chinese</b> food. The restaurant should be in the <b>expensive</b> price range. The restaurant should be in the <b>centre</b> area. Make sure you get the <b>address</b>, <b>postcode</b>, and <b>phone number</b>."
8,You are looking for a <b>restaurant</b>. The restaurant should be in the <b>moderate</b> price range. The restaurant should be in the <b>centre</b> area. Make sure you get the <b>postcode</b>.
9,"You are looking for a <b>restaurant</b>. The restaurant should serve <b>international</b> food. The restaurant should be in the <b>expensive</b> price range. The restaurant should be in the <b>south</b> area. If there is no such restaurant, how about one that serves <b>indian</b> food. Once you find the <b>restaurant</b> you want to book a table for <b>4 people</b> at <b>time</b> on <b>Wednesday</b>."
