cuda_device : 6
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : train
m : TSD
prev_z_method : separate
dataset : camrest
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (9, 1, 1)
lr : 0.003
lr_decay : 0.5
model_path : ./models/multi_woz_simulator.pkl
result_path : ./results/multi_woz_simulator.csv
vocab_path : ./vocab/vocab-multi_woz_simulator.pkl
data : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/rest_usr_simulator.json
entity : ./data/multi_woz/ontology.json
db : ./data/multi_woz/restaurant_db.json
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
z_length : 8
degree_size : 5
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
cuda : False
spv_proportion : 100
max_ts : 40
early_stop_count : 3
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
1258,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i want a pricerange_SLOT priced restaurant in the area_SLOT part of town . what is the address ?,9,19,True
1234,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i want food_SLOT food and i do n't care about the price range . what is the address and phone number ?,9,23,True
1194,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,a food_SLOT restaurant in the area_SLOT part of town . please give me address and phone number .,9,19,True
1197,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i am looking for a restaurant in the area_SLOT part of town that is in the pricerange_SLOT price range .,9,21,True
1238,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,do you know of any pricerange_SLOT priced restaurants in the area_SLOT part of town ? i 'll need the address and phone number .,9,25,True
1208,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i need the address and postcode of a pricerange_SLOT restaurant on the area_SLOT side of town .,9,18,True
1261,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i 'm looking for an english restaurant that 's pricerange_SLOT <unk>,9,12,True
1203,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,i want a pricerange_SLOT restaurant in the area_SLOT part of town . what is the address and postcode ?,9,20,True
1217,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,"hi , i 'm looking for good food_SLOT food on the area_SLOT side .",9,15,True
1279,0,hello ! what can i help you ?,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,EOS_Z1 EOS_Z3 EOS_Z5 EOS_Z4,i 'm looking for a restaurant that serves food_SLOT food .,"i want to find an pricerange_SLOT restaurant and serves food_SLOT food . can i also have the address , phone number and its area . ?",9,27,True
