dial_0,usr,i would like to find a place to eat in the centre .,
dial_0,sys,Do you have a preference on the food and pricerange?,ask_type
dial_0,usr,i would like to book a table for 5 on monday at 15:15 .,
dial_0,sys,pizza hut city centre is a italian restaurant on the centre side of town. It's in the cheap price range. Is there anything else I can help you with?,present_result
dial_0,usr,no , that will be a good . thank you for your help .,
dial_1,usr,i would like to find a restaurant in the south part of town .,
dial_1,sys,Do you have a preference on the food and pricerange?,ask_type
dial_1,usr,i would like to know the phone number , please .,
dial_1,sys,the good luck chinese food takeaway is a chinese restaurant on the south side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_1,usr,no , i would like to know . thank you .,
dial_2,usr,i would like to know that is expensive -ly priced,
dial_2,sys,Do you have a preference on the food and area?,ask_type
dial_2,usr,i do not care .,
dial_2,sys,curry garden is a indian restaurant on the centre side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_2,usr,is there anything else ?,
dial_2,sys,the good luck chinese food takeaway is a chinese restaurant on the south side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_2,usr,no , i would like a expensive restaurant .,
dial_2,sys,taj tandoori is a indian restaurant on the south side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_2,usr,that is all i needed . thank you .,
dial_3,usr,i would like a restaurant that serves north american food .,
dial_3,sys,Do you have a preference on the area and pricerange?,ask_type
dial_3,usr,i would like the address and phone number , and price range .,
dial_3,sys,gourmet burger kitchen is a north american restaurant on the centre side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_3,usr,that is all i needed .,
dial_4,usr,i would like a restaurant in the north part of town .,
dial_4,sys,Do you have a preference on the food and pricerange?,ask_type
dial_4,usr,i would like a cheap restaurant in the north part of town .,
dial_4,sys,da vinci pizzeria is a italian restaurant on the north side of town. It's in the cheap price range. Is there anything else I can help you with?,present_result
dial_4,usr,that is all i needed . thank you .,
dial_5,usr,i would like to find a expensive restaurant in the centre .,
dial_5,sys,Do you have a preference on the food?,ask_type
dial_5,usr,i would like to book a table for 2 people on monday .,
dial_5,sys,curry garden is a indian restaurant on the centre side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_5,usr,that is the curry , please .,
dial_5,sys,curry garden is located at 106 Regent Street City Centre . Its phone number is 01223302330 and the postcode is cb21dp . is there anything else i can help you with ?,provide_info
dial_5,usr,that is all , thank you for your help .,
dial_6,usr,i would like a cheap -ly priced restaurant in the north part of town .,
dial_6,sys,Do you have a preference on the food?,ask_type
dial_6,usr,i would like cheap .,
dial_6,sys,da vinci pizzeria is a italian restaurant on the north side of town. It's in the cheap price range. Is there anything else I can help you with?,present_result
dial_6,usr,no , i would like to know . thank you .,
dial_7,usr,i would like to find a expensive restaurant in the centre part of town .,
dial_7,sys,Do you have a preference on the food?,ask_type
dial_7,usr,i would like to book a table for 5 people on monday .,
dial_7,sys,curry garden is a indian restaurant on the centre side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_7,usr,that will be a good .,
dial_7,sys,stazione restaurant and coffee bar is a italian restaurant on the centre side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_7,usr,that is all i need a reservation for 5 people at 18:30 on monday .,
dial_8,usr,i would like to find a moderate restaurant in the centre .,
dial_8,sys,Do you have a preference on the food?,ask_type
dial_8,usr,i would like to book a table for 6 people on wednesday .,
dial_8,sys,pizza express is a italian restaurant on the centre side of town. It's in the moderate price range. Is there anything else I can help you with?,present_result
dial_8,usr,i need a reservation for 6 people at 20:00 on saturday ?,
dial_8,sys,I have booked the reservation for you. And you reference number is ABC.,booking_success
dial_8,usr,thanks , that s all i need .,
dial_9,usr,i would like to find a expensive restaurant in the south .,
dial_9,sys,Do you have a preference on the food?,ask_type
dial_9,usr,i would like to book a table for 1 people on monday .,
dial_9,sys,the good luck chinese food takeaway is a chinese restaurant on the south side of town. It's in the expensive price range. Is there anything else I can help you with?,present_result
dial_9,usr,no , i need a reservation for 1 people at 16:00 on monday ?,
dial_9,sys,I have booked the reservation for you. And you reference number is ABC.,booking_success
dial_9,usr,i needed . bye .,
dial_10,usr,i would like to know that is cheap -ly priced,
dial_10,sys,Do you have a preference on the food and area?,ask_type
dial_10,usr,i would like a cheap restaurant in the centre part of town .,
dial_10,sys,pizza hut city centre is a italian restaurant on the centre side of town. It's in the cheap price range. Is there anything else I can help you with?,present_result
dial_10,usr,i need a cheap price range ?,
dial_10,sys,charlie chan is a chinese restaurant on the centre side of town. It's in the cheap price range. Is there anything else I can help you with?,present_result
dial_10,usr,i need a reservation for 2 at 20:45 on thur .,
dial_10,sys,Could you please tell me what day you would like for the reservation?,ask_reservation_info
dial_10,usr,no , i need a nice day .,
dial_10,sys,Thank you for using the system. Have a good day and goodbye!,goodbye
